애니메이션 제목
무직전생 ~이세계에 갔으면 최선을 다한다~ 1기
스크라이드
장송의 프리렌 1기
던전밥
헬싱 OVA
Re: 제로부터 시작하는 이세계 생활 3기
최애의 아이
인빈서블
트라이건 스탬피드
라자로
도망을 잘 치는 도련님
어둠의 실력자가 되고 싶어서!
터무니 없는 스킬로 이세계 방랑밥
이세계 유유자적 농가
토모 짱은 여자아이!
아픈 건 싫으니까 방어력에 올인하려고 합니다 2기
그 비스크 돌은 사랑을 한다
Vivy Fluorite Eyes Song
스파이 패밀리 1기
마법소녀 마도카 마기카
Re: 제로부터 시작하는 이세계 생활 1기
Re: 제로부터 시작하는 이세계 생활 2기
아픈 건 싫으니까 방어력에 올인하려고 합니다 1기
명탐정 코난 극장판 2기: 14번째의 표적
